A=8049 B=9482 C=5390 X=670822809 Y=9818700220 Z=85300090799 M=9787
A=3081 B=3668 C=7798 X=843492577 Y=1364180783 Z=40318715616 M=4620
A=9652 B=5712 C=7724 X=146950436 Y=6899986875 Z=35648283503 M=9501
A=7667 B=8290 C=8889 X=601807726 Y=2422404265 Z=13367525292 M=4325
A=8268 B=7320 C=6384 X=336579141 Y=5221382575 Z=23733479955 M=5407
A=4792 B=7104 C=8517 X=651567807 Y=5943691330 Z=92250458477 M=5354
A=7923 B=3937 C=9127 X=257256487 Y=1471719912 Z=25059752511 M=8536
A=2576 B=7267 C=7487 X=687277630 Y=5872750100 Z=16673471513 M=2684
A=7111 B=7992 C=8417 X=942251106 Y=6854883220 Z=78889442371 M=5919
A=8756 B=3653 C=8420 X=456890353 Y=6466787199 Z=17576592990 M=7898
A=7005 B=4741 C=7208 X=338910787 Y=3723981777 Z=21092804661 M=4703
A=8938 B=4324 C=5772 X=357434342 Y=1124885376 Z=43163896818 M=3502
A=8717 B=9794 C=9321 X=615348616 Y=5820548943 Z=52312377512 M=3910
A=8420 B=5401 C=6199 X=609770561 Y=9327226057 Z=54222038839 M=4932
A=8233 B=8161 C=5157 X=815874087 Y=3267519913 Z=78356296815 M=7355
A=6801 B=9202 C=5418 X=356268917 Y=7624077957 Z=71009197334 M=5670
A=9730 B=4913 C=6973 X=463008280 Y=5381137042 Z=49725987020 M=1560
A=9537 B=8196 C=9262 X=409269129 Y=8530693898 Z=19557784061 M=7877
A=3392 B=8323 C=5256 X=692681401 Y=4701235735 Z=73216433025 M=7017
A=3699 B=6270 C=7135 X=240515737 Y=5217407299 Z=65937759164 M=4424
A=2269 B=8941 C=8743 X=193537393 Y=5310633768 Z=65009156535 M=9488
A=9767 B=7615 C=6794 X=294460759 Y=5146699944 Z=84886403039 M=4075
A=8086 B=6276 C=8527 X=665129014 Y=3746004097 Z=86942036046 M=9401
A=6828 B=5888 C=8963 X=668751373 Y=4363530092 Z=24445548763 M=6305
A=3918 B=6850 C=8939 X=924234157 Y=9054457378 Z=11769298010 M=9613
A=4907 B=4486 C=5015 X=247922958 Y=6950226524 Z=26509957861 M=2073
A=6070 B=6115 C=7686 X=998973168 Y=1539145971 Z=88825317796 M=2602
A=6366 B=4972 C=5555 X=119107816 Y=4025823970 Z=58903893538 M=6947
A=9733 B=9958 C=5941 X=224535560 Y=8716344430 Z=46344767051 M=3922
A=3561 B=7697 C=6811 X=301084267 Y=1291838290 Z=85780840800 M=9086
A=6971 B=3696 C=8699 X=927789445 Y=9661446735 Z=31083778676 M=9688
A=9389 B=4133 C=8938 X=352448535 Y=6961555717 Z=33086597691 M=9023
A=6194 B=5936 C=5037 X=542590522 Y=9270121393 Z=42576540592 M=5650
A=7938 B=7585 C=9378 X=177085234 Y=1424788307 Z=90198654058 M=9893
A=5948 B=4707 C=8930 X=197668066 Y=5587221337 Z=54000349366 M=1958
A=4421 B=4943 C=8609 X=463495373 Y=8822410170 Z=68117446852 M=4666
A=7352 B=9567 C=9371 X=374600523 Y=8370843646 Z=55053001084 M=9632
A=2216 B=5340 C=7331 X=995598769 Y=5487803286 Z=24651820081 M=8987
A=6566 B=4610 C=7463 X=284294816 Y=8849268618 Z=40887342967 M=6958
A=8389 B=3491 C=8995 X=647991671 Y=3638366569 Z=73585371223 M=9475
A=4264 B=4313 C=7929 X=591539223 Y=9460742696 Z=88396764410 M=9233
A=3252 B=6434 C=5779 X=581982066 Y=6412933014 Z=11874165130 M=3222
A=2372 B=7056 C=5092 X=142822982 Y=8459296351 Z=63933269060 M=2307
A=4494 B=9975 C=9650 X=237154289 Y=9256230432 Z=44622486429 M=6283
A=7712 B=4561 C=6963 X=427513106 Y=6783224517 Z=38511826955 M=4376
